symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2018-06-21 00:00:00+00:00,141.25,143.14,140.83,142.59,3887650,107.0953997723,108.5283930861,106.7769568137,108.1113844498,4066481,0.0,1.0
IBM,2018-06-22 00:00:00+00:00,141.28,141.81,140.78,141.64,6013678,107.1181456979,107.5199903838,106.7390469377,107.3910968053,6290307,0.0,1.0
IBM,2018-06-25 00:00:00+00:00,138.79,140.4,138.28,140.4,8937085,105.2302338719,106.4509318799,104.8435531364,106.4509318799,9348190,0.0,1.0
IBM,2018-06-26 00:00:00+00:00,139.08,139.85,138.33,139.36,4139455,105.4501111528,106.0339232436,104.8814630124,105.6624064586,4329869,0.0,1.0
IBM,2018-06-27 00:00:00+00:00,137.48,139.78,137.45,139.11,4097588,104.23699512,105.9808494172,104.2142491944,105.4728570784,4286077,0.0,1.0
IBM,2018-06-28 00:00:00+00:00,140.04,140.54,137.95,138.1,4523666,106.1779807725,106.5570795328,104.5933479546,104.7070775827,4731754,0.0,1.0
IBM,2018-06-29 00:00:00+00:00,139.7,141.36,139.61,140.32,3753684,105.9201936155,107.1788014996,105.8519558387,106.3902760782,3926353,0.0,1.0
IBM,2018-07-02 00:00:00+00:00,139.86,140.22,138.2,138.28,3405642,106.0415052188,106.3144563262,104.7828973348,104.8435531364,3562301,0.0,1.0
IBM,2018-07-03 00:00:00+00:00,139.57,140.94,139.37,140.65,1963232,105.8216279379,106.860358541,105.6699884338,106.64048126,2053540,0.0,1.0
IBM,2018-07-05 00:00:00+00:00,141.43,141.43,139.93,140.48,3744730,107.231875326,107.231875326,106.0945790453,106.5115876815,3916987,0.0,1.0
IBM,2018-07-06 00:00:00+00:00,142.48,142.94,141.17,141.53,2910426,108.0279827226,108.376753582,107.0347439707,107.3076950781,3044305,0.0,1.0
IBM,2018-07-09 00:00:00+00:00,144.39,144.72,142.47,142.59,3904652,109.4761399867,109.7263451685,108.0204007473,108.1113844498,4084265,0.0,1.0
IBM,2018-07-10 00:00:00+00:00,144.71,145.59,144.26,144.51,3776991,109.7187631933,110.3859770113,109.3775743091,109.5671236892,3950732,0.0,1.0
IBM,2018-07-11 00:00:00+00:00,144.94,146.19,144.0,144.0,3526565,109.893148623,110.8408955237,109.1804429537,109.1804429537,3688786,0.0,1.0
IBM,2018-07-12 00:00:00+00:00,146.45,146.83,145.74,145.85,3119505,111.038026879,111.3261419368,110.4997066394,110.5831083667,3263002,0.0,1.0
IBM,2018-07-13 00:00:00+00:00,145.9,146.98,145.8,146.45,3067638,110.6210182427,111.4398715649,110.5451984907,111.038026879,3208749,0.0,1.0
IBM,2018-07-16 00:00:00+00:00,145.46,145.79,144.21,145.67,3468817,110.2874113337,110.5376165154,109.339664433,110.446632813,3628382,0.0,1.0
IBM,2018-07-17 00:00:00+00:00,143.49,145.0,143.34,144.75,5096741,108.7937622183,109.9386404742,108.6800325902,109.7490910941,5331191,0.0,1.0
IBM,2018-07-18 00:00:00+00:00,144.52,144.8,142.74,143.51,6935288,109.5747056644,109.7870009701,108.2251140779,108.8089261687,7254311,0.0,1.0
IBM,2018-07-19 00:00:00+00:00,149.24,150.54,147.25,147.85,14655804,113.1533979612,114.1390547379,111.6445848954,112.0995034077,15329970,0.0,1.0
IBM,2018-07-20 00:00:00+00:00,146.35,148.86,146.26,148.58,6415972,110.9622071269,112.8652829034,110.8939693501,112.6529875977,6711106,0.0,1.0
IBM,2018-07-23 00:00:00+00:00,145.7,146.7,145.01,146.35,3897892,110.4693787386,111.2275762591,109.9462224495,110.9622071269,4077195,0.0,1.0
IBM,2018-07-24 00:00:00+00:00,146.38,147.04,145.92,146.7,3891625,110.9849530526,111.4853634161,110.6361821931,111.2275762591,4070639,0.0,1.0
IBM,2018-07-25 00:00:00+00:00,146.62,146.65,145.5,146.01,3623182,111.1669204575,111.1896663831,110.3177392345,110.70441997,3789848,0.0,1.0
IBM,2018-07-26 00:00:00+00:00,146.71,149.27,146.63,147.43,4778022,111.2351582343,113.1761438868,111.1745024327,111.7810604491,4997811,0.0,1.0
IBM,2018-07-27 00:00:00+00:00,145.15,147.14,144.66,146.89,3749642,110.0523701023,111.5611831681,109.6808533173,111.371633788,3922125,0.0,1.0
IBM,2018-07-30 00:00:00+00:00,145.49,146.24,144.69,144.8,3608283,110.3101572593,110.8788053997,109.7035992429,109.7870009701,3774264,0.0,1.0
IBM,2018-07-31 00:00:00+00:00,144.93,145.8,144.16,145.74,5474478,109.8855666478,110.5451984907,109.301754557,110.4997066394,5726303,0.0,1.0
IBM,2018-08-01 00:00:00+00:00,143.5,145.19,143.34,144.76,3388386,108.8013441935,110.0826980031,108.6800325902,109.7566730693,3544251,0.0,1.0
IBM,2018-08-02 00:00:00+00:00,142.96,143.36,142.33,142.86,3841447,108.3919175324,108.6951965406,107.9142530945,108.3160977804,4018153,0.0,1.0
IBM,2018-08-03 00:00:00+00:00,147.7,147.92,143.0,143.24,8053567,111.9857737796,112.1525772341,108.4222454332,108.6042128381,8424031,0.0,1.0
IBM,2018-08-06 00:00:00+00:00,146.03,147.2,145.57,146.95,3913743,110.7195839204,111.6066750194,110.3708130609,111.4171256392,4093775,0.0,1.0
IBM,2018-08-07 00:00:00+00:00,147.01,147.64,146.35,146.65,3508758,111.4626174905,111.9402819284,110.9622071269,111.1896663831,3670160,0.0,1.0
IBM,2018-08-08 00:00:00+00:00,146.89,147.43,146.24,147.33,3581746,111.371633788,111.7810604491,110.8788053997,111.705240697,3746506,0.0,1.0
IBM,2018-08-09 00:00:00+00:00,144.77,145.94,144.73,145.53,3093504,110.9546251517,111.8513365659,110.9239683512,111.5371043609,3235805,1.57,1.0
IBM,2018-08-10 00:00:00+00:00,144.48,145.07,143.88,144.5,3003158,110.7323633482,111.1845511554,110.272511341,110.7476917485,3141303,0.0,1.0
IBM,2018-08-13 00:00:00+00:00,142.71,144.3,142.53,144.15,2858842,109.3757999268,110.594407746,109.2378443246,110.4794447442,2990348,0.0,1.0
IBM,2018-08-14 00:00:00+00:00,143.36,143.82,142.93,143.0,2860041,109.8739729347,110.2265261402,109.5444123295,109.5980617303,2991602,0.0,1.0
IBM,2018-08-15 00:00:00+00:00,143.91,144.0,142.0,142.55,4241496,110.2955039413,110.3644817424,108.8316417182,109.2531727249,4436604,0.0,1.0
IBM,2018-08-16 00:00:00+00:00,145.34,145.68,144.37,144.37,5250878,111.3914845586,111.6520673627,110.6480571469,110.6480571469,5492418,0.0,1.0
IBM,2018-08-17 00:00:00+00:00,146.06,146.39,144.69,144.79,2678820,111.9433069673,112.1962255713,110.8933115508,110.969953552,2802045,0.0,1.0
IBM,2018-08-20 00:00:00+00:00,146.51,147.16,146.15,146.37,2499654,112.2881959728,112.7863689807,112.0122847684,112.1808971711,2614638,0.0,1.0
